CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188874,RELAÇÕES INTERNACIONAIS,5,52,5208707,1,1,0312R01,Relações internacionais,03,"Ciências sociais, comunicação e informação",2015,2017,5,2019,8,2022,45,33,0,8,0,73.33333333,0,26.66666667,0,17.77777778
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188874,RELAÇÕES INTERNACIONAIS,5,52,5208707,1,1,0312R01,Relações internacionais,03,"Ciências sociais, comunicação e informação",2015,2018,5,2019,8,2022,45,22,11,0,0,48.88888889,24.44444444,26.66666667,24.44444444,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188874,RELAÇÕES INTERNACIONAIS,5,52,5208707,1,1,0312R01,Relações internacionais,03,"Ciências sociais, comunicação e informação",2015,2019,5,2019,8,2022,45,13,9,0,0,28.88888889,44.44444444,26.66666667,20,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188874,RELAÇÕES INTERNACIONAIS,5,52,5208707,1,1,0312R01,Relações internacionais,03,"Ciências sociais, comunicação e informação",2015,2020,5,2019,8,2022,45,6,7,0,0,13.33333333,60,26.66666667,15.55555556,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188874,RELAÇÕES INTERNACIONAIS,5,52,5208707,1,1,0312R01,Relações internacionais,03,"Ciências sociais, comunicação e informação",2015,2021,5,2019,8,2022,45,2,2,2,0,4.444444444,64.44444444,31.11111111,4.444444444,4.444444444
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188875,DESIGN GRÁFICO,5,52,5208707,1,1,0211D01,Design gráfico,02,Artes e humanidades,2015,2015,5,2019,8,2022,40,37,0,3,0,92.5,0,7.5,0,7.5
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188875,DESIGN GRÁFICO,5,52,5208707,1,1,0211D01,Design gráfico,02,Artes e humanidades,2015,2016,5,2019,8,2022,40,34,0,3,0,85,0,15,0,7.5
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188875,DESIGN GRÁFICO,5,52,5208707,1,1,0211D01,Design gráfico,02,Artes e humanidades,2015,2017,5,2019,8,2022,40,31,0,3,0,77.5,0,22.5,0,7.5
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188875,DESIGN GRÁFICO,5,52,5208707,1,1,0211D01,Design gráfico,02,Artes e humanidades,2015,2018,5,2019,8,2022,40,21,9,1,0,52.5,22.5,25,22.5,2.5
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188875,DESIGN GRÁFICO,5,52,5208707,1,1,0211D01,Design gráfico,02,Artes e humanidades,2015,2019,5,2019,8,2022,40,6,14,1,0,15,57.5,27.5,35,2.5
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188875,DESIGN GRÁFICO,5,52,5208707,1,1,0211D01,Design gráfico,02,Artes e humanidades,2015,2020,5,2019,8,2022,40,4,1,1,0,10,60,30,2.5,2.5
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188875,DESIGN GRÁFICO,5,52,5208707,1,1,0211D01,Design gráfico,02,Artes e humanidades,2015,2021,5,2019,8,2022,40,3,1,0,0,7.5,62.5,30,2.5,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188877,ARTES VISUAIS,5,52,5208707,1,1,0213A03,Artes visuais,02,Artes e humanidades,2015,2015,5,2019,8,2022,40,28,0,12,0,70,0,30,0,30
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188877,ARTES VISUAIS,5,52,5208707,1,1,0213A03,Artes visuais,02,Artes e humanidades,2015,2016,5,2019,8,2022,40,0,0,28,0,0,0,100,0,70
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188877,ARTES VISUAIS,5,52,5208707,1,1,0213A03,Artes visuais,02,Artes e humanidades,2015,2017,5,2019,8,2022,40,0,0,0,0,0,0,100,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188877,ARTES VISUAIS,5,52,5208707,1,1,0213A03,Artes visuais,02,Artes e humanidades,2015,2018,5,2019,8,2022,40,0,0,0,0,0,0,100,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188877,ARTES VISUAIS,5,52,5208707,1,1,0213A03,Artes visuais,02,Artes e humanidades,2015,2019,5,2019,8,2022,40,0,0,0,0,0,0,100,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188877,ARTES VISUAIS,5,52,5208707,1,1,0213A03,Artes visuais,02,Artes e humanidades,2015,2020,5,2019,8,2022,40,0,0,0,0,0,0,100,0,0
584,UNIVERSIDADE FEDERAL DE GOIÁS,1,1,1188877,ARTES VISUAIS,5,52,5208707,1,1,0213A03,Artes visuais,02,Artes e humanidades,2015,2021,5,2019,8,2022,40,0,0,0,0,0,0,100,0,0
